,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,NST_B_Label
106,1678440661,1678440661,87.340364,87.340364,1e-06,1,0,105,0,105.0,,105.0,,105.0,,840000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
107,1678440660,1678440660,85.737366,85.737366,1e-06,1,0,116,0,116.0,,116.0,,116.0,,928000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
109,1678440687,1678440687,112.638458,112.638462,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,1678440690,1678440690,115.650899,115.651397,0.000499,3,0,351,0,117.0,,117.0,,117.0,,5626618.422,0.0,0,0,0.0,,0.0,,0.0,,0.000249028,,,,,,,,,,,,,,,,,,,,,,,,,,1
111,1678440691,1678440691,116.734934,116.734939,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
112,1678440691,1678440691,116.544057,116.544061,5e-06,4,0,1312,0,328.0,,328.0,,328.0,,2077134252.0,0.0,1200,0,300.0,,300.0,,300.0,,1.35e-06,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
113,1678440692,1678440692,117.758475,117.758479,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
114,1678440693,1678440693,118.782473,118.782477,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
115,1678440697,1678440697,122.878964,122.878968,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
116,1678440698,1678440698,123.902518,123.902522,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
117,1678440689,1678440689,115.371882,115.371882,1e-06,1,0,36,0,36.0,,36.0,,36.0,,288000000.0,0.0,4,0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
118,1678440699,1678440699,124.926366,124.92637,5e-06,4,0,240,0,60.0,,60.0,,60.0,,398778966.6,0.0,0,0,0.0,,0.0,,0.0,,1.27e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
119,1678440703,1678440703,129.023162,129.023166,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,1678440704,1678440704,130.04631,130.046314,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
123,1678440710,1678440710,136.190321,136.190325,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
124,1678440701,1678440701,127.372777,127.372777,1e-06,1,0,36,0,36.0,,36.0,,36.0,,288000000.0,0.0,4,0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
125,1678440677,1678440677,102.948454,102.953568,0.005115,8,0,480,0,60.0,,60.0,,60.0,,750721.613,0.0,0,0,0.0,,0.0,,0.0,,0.000730583,,,,,,,,,,,,,,,,,,,,,,,,,,1
126,1678440677,1678440677,102.501749,102.503678,0.00193,2,0,72,0,36.0,,36.0,,36.0,,298438.68,0.0,8,0,4.0,,4.0,,4.0,,0.001929045,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
127,1678440677,1678440677,102.587214,102.587214,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
128,1678440677,1678440677,102.588975,102.588975,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
129,1678440711,1678440711,137.214289,137.214293,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
131,1678440716,1678440716,142.334421,142.334425,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
132,1678440691,1678440691,117.34151,117.34151,1e-06,1,0,105,0,105.0,,105.0,,105.0,,840000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
133,1678440690,1678440690,115.739576,115.739576,1e-06,1,0,116,0,116.0,,116.0,,116.0,,928000000.0,0.0,0,0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
135,1678440717,1678440717,143.358337,143.358341,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
136,1678440722,1678440722,147.454808,147.454812,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
137,1678440723,1678440723,148.4784,148.478404,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
138,1678440715,1678440715,140.713647,140.715671,0.002025,2,0,72,0,36.0,,36.0,,36.0,,284420.042,0.0,8,0,4.0,,4.0,,4.0,,0.002024174,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1
139,1678440724,1678440724,149.502408,149.502412,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
140,1678440728,1678440728,153.598868,153.598872,5e-06,4,0,240,0,60.0,,60.0,,60.0,,379963582.7,0.0,0,0,0.0,,0.0,,0.0,,1.35e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
141,1678440715,1678440715,140.879206,140.879206,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
142,1678440715,1678440715,140.880986,140.880986,1e-06,1,0,40,0,40.0,,40.0,,40.0,,320000000.0,0.0,8,0,8.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
145,1678440605,1678440605,30.583338,30.583622,0.000285,2,2,120,120,60.0,60.0,60.0,60.0,60.0,60.0,3368934.931,3368934.931,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0
147,1678440733,1678440733,158.690991,159.035508,0.344518,24,26,2296,2084,488.0,200.0,40.0,52.0,95.667,80.154,53315.067,48392.248,1064,700,436.0,148.0,0.0,0.0,44.333,26.923,0.014979,0.013748436,64.0,64.0,0.833,0.846,0.0,0.0,0.167,0.0,0.25,0.462,0.167,0.154,0.167,0.0,7964.0,10307.308,0.0,0.0,0.039,0.008,0.0,0.0,0.005192,0.001222,1
148,1678440730,1678440730,155.646385,155.64639,6e-06,4,0,240,0,60.0,,60.0,,60.0,,319638267.4,0.0,0,0,0.0,,0.0,,0.0,,1.67e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
