start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,NST_B_Label
1678440592.510538,1678440593,18.431712,18.431714,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440593.533904,1678440593.533906,19.455078,19.45508,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440594.557796,1678440594.557798,20.47897,20.478972,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440583.342043,1678440583.342043,9.263217,9.263217,1e-06,0,1,0,36,,36,,36,,36,0,288000000,0,8,,8,,8,,8,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
1678440598.654262,1678440598.654264,24.575436,24.575438,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440599.677618,1678440599.677619,25.598792,25.598793,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440600.588314,1678440600.588314,26.509488,26.509488,1e-06,1,0,114,0,114,,114,,114,,912000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440592.548413,1678440592.548413,18.469587,18.469587,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440600.701603,1678440600.701603,26.622777,26.622777,1e-06,2,0,120,0,60,,60,,60,,960000000,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440604.798076,1678440604.798079,30.71925,30.719253,4e-06,2,0,120,0,60,,60,,60,,234178239.5,0,0,0,0,,0,,0,,3.0994415283203125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440605.821609,1678440605.821611,31.742783,31.742785,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440606.845459,1678440606.845461,32.766633,32.766635,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440610.941858,1678440611,36.863032,36.863034,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440611.965415,1678440611.965417,37.886589,37.886591,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440604.552283,1678440604.552283,30.473457,30.473457,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440612.989383,1678440612.989384,38.910557,38.910558,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440617.085602,1678440617.085604,43.006776,43.006778,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440618.109246,1678440618.109248,44.03042,44.030422,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440619.133221,1678440619.133222,45.054395,45.054396,2e-06,2,0,120,0,60,,60,,60,,437937644.9,0,0,0,0,,0,,0,,1.1920928955078125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440623.230032,1678440623.230033,49.151206,49.151207,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440611.581361,1678440611.581363,37.502535,37.502537,3e-06,2,0,656,0,328,,328,,328,,1805081077,0,600,0,300,,300,,300,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440624.253242,1678440624.253244,50.174416,50.174418,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440625.204709,1678440625,51.125883,51.125884,2e-06,2,0,656,0,328,,328,,328,,2686220500,0,600,0,300,,300,,300,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440616.552953,1678440616.552953,42.474127,42.474127,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440626.113886,1678440626.113888,52.03506,52.035062,3e-06,2,0,656,0,328,,328,,328,,1805081077,0,600,0,300,,300,,300,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440625.277157,1678440625.277158,51.198331,51.198332,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440626.034923,1678440626.297964,51.956097,52.219138,0.263042,8,0,480,0,60,,60,,60,,14598.428,0,0,0,0,,0,,0,,0.037577288,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440629.373738,1678440629,55.294912,55.294914,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440602.219975,1678440602.219975,28.141149,28.141149,1e-06,1,0,102,0,102,,102,,102,,816000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440600.681138,1678440600.681138,26.602312,26.602312,1e-06,1,0,115,0,115,,115,,115,,920000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440630.397216,1678440630.397218,56.31839,56.318392,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440630.589157,1678440630.589157,56.510331,56.510331,1e-06,1,0,114,0,114,,114,,114,,912000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440629.714135,1678440629.769802,55.635309,55.690976,0.055668,4,0,240,0,60,,60,,60,,34490.092,0,0,0,0,,0,,0,,0.018555720647176106,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440631.421159,1678440631.421161,57.342333,57.342335,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440635.517743,1678440635.517745,61.438917,61.438919,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440633.226795,1678440633.276774,59.147969,59.197948,0.04998,4,0,240,0,60,,60,,60,,38415.388,0,0,0,0,,0,,0,,0.016659657160441082,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440636.541283,1678440636.541285,62.462457,62.462459,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440636.706281,1678440636.761995,62.627455,62.683169,0.055715,4,0,240,0,60,,60,,60,,34461.016,0,0,0,0,,0,,0,,0.018571377,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440628.562153,1678440628.562153,54.483327,54.483327,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440638,1678440637.565282,63.486454,63.486456,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440641.661792,1678440641.661794,67.582966,67.582968,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440642.685273,1678440642.685275,68.606447,68.606449,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440640.261825,1678440640.312992,66.182999,66.234166,0.051168,4,0,240,0,60,,60,,60,,37523.444,0,0,0,0,,0,,0,,0.017055670420328777,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440643.709204,1678440643.709206,69.630378,69.63038,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440647.805735,1678440647.805737,73.726909,73.726911,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440648.829295,1678440648.829297,74.750469,74.750471,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440640.563225,1678440640.563225,66.484399,66.484399,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440649.853179,1678440649.853181,75.774353,75.774355,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440653.949822,1678440653.949824,79.870996,79.870998,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440654.973247,1678440654.973249,80.894421,80.894423,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440655.997235,1678440655.997236,81.918409,81.91841,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440632.221197,1678440632.221197,58.142371,58.142371,1e-06,1,0,102,0,102,,102,,102,,816000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440630.682606,1678440630.682606,56.60378,56.60378,1e-06,1,0,115,0,115,,115,,115,,920000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440660,1678440660.093631,86.014804,86.014805,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440661.117309,1678440661,87.038483,87.038484,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440660.591863,1678440660.591863,86.513037,86.513037,1e-06,1,0,114,0,114,,114,,114,,912000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440652.572368,1678440652.572368,78.493542,78.493542,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440662.141222,1678440662.141224,88.062396,88.062398,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440666.237798,1678440666,92.158972,92.158974,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440667.261309,1678440667.261311,93.182483,93.182485,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440668.285198,1678440668,94.206372,94.206374,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440672.381874,1678440672.381876,98.303048,98.30305,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440673.405399,1678440673.405401,99.326573,99.326575,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440628.837986,1678440628.837987,54.75916,54.759161,2e-06,2,0,656,0,328,,328,,328,,2686220500,0,600,0,300,,300,,300,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440664.573114,1678440664.573114,90.494288,90.494288,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440674.429264,1678440674.429266,100.350438,100.35044,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440678.525808,1678440679,104.446982,104.446984,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440679.549313,1678440679.549315,105.470487,105.470489,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440680.573338,1678440681,106.494512,106.494514,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440684.670131,1678440684.670133,110.591305,110.591307,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440685.693295,1678440685.693296,111.614469,111.61447,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440676.053137,1678440676.053139,101.974311,101.974313,3e-06,2,0,656,0,328,,328,,328,,1805081077,0,600,0,300,,300,,300,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440662,1678440662,88.143954,88.143954,1e-06,1,0,102,0,102,,102,,102,,816000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440688.978981,1678440688.978982,114.900155,114.900156,2e-06,2,0,656,0,328,,328,,328,,2686220500,0,600,0,300,,300,,300,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,0,,,,,,,,1
1678440660.684033,1678440660.684033,86.605207,86.605207,1e-06,1,0,115,0,115,,115,,115,,920000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440686.717284,1678440686.717286,112.638458,112.63846,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440690.813761,1678440690.813763,116.734935,116.734937,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440690.622883,1678440690.622885,116.544057,116.544059,3e-06,2,0,656,0,328,,328,,328,,1805081077,0,600,0,300,,300,,300,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,0,,,,,,,,1
1678440690.593407,1678440690.593407,116.514581,116.514581,1e-06,1,0,114,0,114,,114,,114,,912000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440691.837302,1678440691.837304,117.758476,117.758478,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440693,1678440692.861302,118.782474,118.782476,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440696.957791,1678440696.957792,122.878965,122.878966,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440697.981345,1678440697.981346,123.902519,123.90252,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440699.005193,1678440699.005195,124.926367,124.926369,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440703.101988,1678440703,129.023162,129.023164,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440704.125137,1678440704.125139,130.046311,130.046313,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440705.149134,1678440705.149136,131.070308,131.07031,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440709.245647,1678440709.245649,135.166821,135.166823,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440710.269148,1678440710,136.190322,136.190324,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440677.027281,1678440677.032393,102.948455,102.953567,0.005113,4,0,240,0,60,,60,,60,,375518.336,0,0,0,0,,0,,0,,0.001703978,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440676.582505,1678440676.582505,102.503679,102.503679,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1
1678440711.293115,1678440711.293117,137.214289,137.214291,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440715.390137,1678440715.390139,141.311311,141.311313,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440716.413247,1678440716.413249,142.334421,142.334423,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440692.224535,1678440692.224535,118.145709,118.145709,1e-06,1,0,102,0,102,,102,,102,,816000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440690.684961,1678440690.684961,116.606135,116.606135,1e-06,1,0,115,0,115,,115,,115,,920000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440717.437164,1678440717.437166,143.358338,143.35834,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440720.596085,1678440720.596085,146.517259,146.517259,1e-06,1,0,114,0,114,,114,,114,,912000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440721.533635,1678440721.533636,147.454809,147.45481,2e-06,2,0,120,0,60,,60,,60,,437937644.9,0,0,0,0,,0,,0,,1.1920928955078125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440722.557226,1678440722.557228,148.4784,148.478402,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440714.794493,1678440714.794493,140.715667,140.715667,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1
1678440723.581235,1678440723.581236,149.502409,149.50241,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440727.677694,1678440727.677696,153.598868,153.59887,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440728.701279,1678440728.701281,154.622453,154.622455,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440714.383232,1678440714.388784,140.304406,140.309958,0.005553,4,0,240,0,60,,60,,60,,345770.567,0,0,0,0,,0,,0,,0.001850605,,,,,,,,,,,,,,,,,,,,,,,,,,1
1678440729.725212,1678440729.725214,155.646386,155.646388,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440733.821651,1678440733.821654,159.742825,159.742828,4e-06,2,0,120,0,60,,60,,60,,234178239.5,0,0,0,0,,0,,0,,3.0994415283203125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440735,1678440734.845111,160.766284,160.766285,2e-06,2,0,120,0,60,,60,,60,,491381798.9,0,0,0,0,,0,,0,,9.5367431640625e-07,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440726.794747,1678440726.794747,152.715921,152.715921,1e-06,1,0,36,0,36,,36,,36,,288000000,0,4,0,4,,4,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
1678440692.059086,1678440692.059088,117.98026,117.980262,3e-06,2,0,656,0,328,,328,,328,,1805081077,0,600,0,300,,300,,300,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,0,,,,,,,,1
1678440735.869114,1678440735.869116,161.790288,161.79029,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440739.965562,1678440739.965564,165.886736,165.886738,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440740.989084,1678440740.989084,166.910258,166.910258,1e-06,2,0,120,0,60,,60,,60,,960000000,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440742.013097,1678440742.013099,167.934271,167.934273,3e-06,2,0,120,0,60,,60,,60,,330197757.9,0,0,0,0,,0,,0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440746.109528,1678440746.109528,172.030702,172.030702,1e-06,2,0,120,0,60,,60,,60,,960000000,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440747.133082,1678440747.133084,173.054256,173.054258,3e-06,2,0,120,0,60,,60,,60,,305171977.2,0,0,0,0,,0,,0,,2.1457672119140625e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440722.226479,1678440722.226479,148.147653,148.147653,1e-06,1,0,102,0,102,,102,,102,,816000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1678440720.686731,1678440720.686731,146.607905,146.607905,1e-06,1,0,115,0,115,,115,,115,,920000000,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
